FIELD #,FIELD NAME,TYPE,TABLE,MAX LENGTH,DECIMAL,FIELD DEFINITION
PARCEL ESSENTIALS PARCEL IDENTIFICATION,,,,,,
1,PARCEL SHAPE ID,AlphaNumeric,,10,,Cotality unique and persistent identification number assigned to each parcel polygon.
PARCEL ESSENTIALS CLIP,,,,,,
2,CLIP,AlphaNumeric,,10,,Unique identification number assigned to each property.
PARCEL ESSENTIALS PARCEL INFORMATION,,,,,,
3,STATE CODE,AlphaNumeric,,2,,Two-digit state code representing first two digits of the FIPS county code.
4,COUNTY CODE,AlphaNumeric,,3,,Three-digit county code representing last three digits of the FIPS county code.
5,ORIGINAL APN,AlphaNumeric,,50,,Original Assessors Parcel Number (APN) in raw format provided on the assessor tax roll.
6,ALTERNATE APN,AlphaNumeric,,50,,An Alternate ID provided by some counties that can be used to identify a property.
7,APN (PARCEL NUMBER UNFORMATTED),AlphaNumeric,,50,,Assessor's Parcel Number in an unformatted form. This is most often used by the county and others as a unique key.
PARCEL ESSENTIALS OWNER,,,,,,
8,OWNER 1 FULL NAME,AlphaNumeric,,50,,Full name of property owner - 1st occurrence.
PARCEL ESSENTIALS PARCEL ADDRESS,,,,,,
9,PARCEL ADDRESS,AlphaNumeric,,100,,Original Address.
10,PARCEL CITY,AlphaNumeric,,50,,Original USPS city where parcel is located.
11,PARCEL STATE,AlphaNumeric,,2,,Original USPS state where parcel is located.
12,PARCEL ZIP,AlphaNumeric,,5,,USPS zip where parcel is located.
13,SITUS STREET ADDRESS,AlphaNumeric,,100,,Standardized property address.
14,SITUS CITY,AlphaNumeric,,50,,The city associated with the property address.
15,SITUS STATE,AlphaNumeric,,2,,"The two-letter USPS postal abbreviation associated with the state / protectorates / commonwealth (e.g., CA, VI)."
16,SITUS ZIP CODE,AlphaNumeric,,9,,"Code assigned by the USPS. This is populated by various source files and other proprietary and non-proprietary processes. Data may be the 5-digit zip or 9-digit Zip+4 (e.g., 00501 or 954630042)."
OWNER MAILING v2,,,,,,
17,MAILING HOUSE NUMBER,AlphaNumeric,,10,,"The digits found to the left of a street name, representing the house number for the mailing address."
